category;business_id;name;url;data
412;10001242;Oulun Rakennusteho Oy;www.rakennusteho.fi; rakennus teho  asunto  paikko  sisältö  rakennus teho  valikko  home  asunto haku  yhteys  suosikki  haku  elämä laatu  alue  paikka  sijainti  pää kaupunki seutu  niitty kumpu   kylä  sompa   seutu  keskus  kiulu kangas   niska        kaupunki osa  huone luku  yksiö  kaksio  kolmio  neliö  asunto  kohde  huone näkymä  perhe asunto  jätkä   kohde  kohde  huone näkymä  koti  keskus  kohde  kohde  huone näkymä  omega  omega  elämä laatu    ääri  niitty kumpu  luonto  kohde  kohde   aukio  moni  syy   aukio  kohde  huone näkymä  origo  origo  asema seutu    kohde  lohi  kaupunki   elämä laatu  alue  keskus    sama  katto  kohde  sijainti    piste  keskus  kulma paikka  arki  kohde    sijainti  arkkitehtuuri  rivi talo  kohde  huone näkymä  niitty kumpu  paikka  arkkitehtuuri  kohde  arki  kulku yhteys  kohde    keskus  häly  kohde  huone näkymä    kaupunki koti  minuutti  sama   kylä  kohde   aukio   aukio  keskus  luonto  talo yhtiö  tila  kohde  huone näkymä        suurimo     alue   matka  pää  kohde  huone näkymä  kiinteistö  asunto  kohde  parkki   paikka   aukio  kohde  kiulu kangas  kiulu kangas  terva  koti  kiulu kangas  kohde  huone näkymä       askel  kohde  huone näkymä  kiulu kangas  terva  kiulu kangas  terva  koti  luonto  koira lenkki  metsä     lähistö  latu  kohde  huone näkymä   kylä  paikka  luonto  yhteys  sama  liikenne yhteys  kohde  huone näkymä  kiulu kangas  terva  kiulu kangas  terva  koti  kiulu kangas  kohde  näkö  paikka  rauta tie asema  kuve  suunta  kohde  huone näkymä  kiulu kangas  terva  asunto  rivi talo  alue  kulku yhteys  pää  kohde        jyvä  paikka      matka  pää  kohde  ympäristö  kilo metri  kohde       moni  kohde  huone näkymä   tila  elämä vaihe  kohde  alue  käsitys  kohde  kaupunki   elämä laatu  taso  kohde  historia  satama miljöö  kohde  sompa   hansa laituri    kohde  koti    kaupunki  syke  kohde  kohde  näkö     kaupunki  kohde     kaupunki  näkö   ääri  kohde  kaikki  kohde  paikka  pää kaupunki seutu  työ  insinööri  pää kaupunki seutu  työ   pää kaupunki seutu  työ  päällikkö  kaikki  työ paikka  koti  asunto  apu  yhteys  koti uutinen  ennakko  tila  uutinen kirje  asunto     verkko    liike tila  liike tila  keskus  paalu paikka  liike tila  uutinen  kortteli  kaikki  uutinen  taide  vaihe  rauta tie asema   keskus  toimi  uutinen  yhteisö  ympäristö  uutinen  lohi  yhteisö  alue  kaikki  uutinen  elämä laatu  rakennus teho  alue    kokemus   asunto  koti    tila  rakennus teho  tieto  trendi  sähkö   uutinen kirje    rakennus teho  sähkö     kohde     kohde  pää kaupunki seutu  kohde  asunto   kohde   muoto  tieto suoja  tieto suoja seloste  kenttä   tarkoitus  tieto suoja seloste  rakennus teho  kohde  asunto  suunnite  asunto  parkki paikka  liike tila  asunto    opas  materiaali   muutos työ    opas    referenssi  puu elementti  tontti  työ  työ paikka  hakemus  tieto  historia  uutinen  yhteys   tieto  työ kumppani  media  tila  uutinen kirje    elämä laatu  alue  paikka  sijainti  pää kaupunki seutu  niitty kumpu   kylä  sompa   seutu  keskus  kiulu kangas   niska        kaupunki osa  huone luku  yksiö  kaksio  kolmio  neliö  sivusto  origo   aukio  lohi
47591;10005147;JYSK OY;www.jysk.fi; huone kalu  koti  tarjous  asiakas   tarjous   myymälä  ostos kori  ostos kori  ostos kori  ostos kori  makuu huone  eteinen  penkki   patja  jalka  tarvike  jenkki sänky  kerros sänky  lakana  lipasto  moottori sänky  patja  peili    pussi lakana   peitto   patja  säle   sänky kehikko  tyyny   tyyny  vaate kaappi  vaate teline   sänky  vuode sohva  yö pöytä   kortti  kylpy huone  kylpy huone matto  kylpy huone tarvike  kylpy takki  tossu  peili  pyyhe  pyykki pesu  suihku verho   kortti  työ huone  konttori tarvike  peli tuoli  työ pöytä  työ tuoli   kortti  olo huone   aine  noja tuoli  rahi  sivu pöytä  sohva  vuode sohva   kortti   tila  lipasto   ryhmä  ruoka pöytä  tuoli  ruoka pöytä  sivu pöytä   kortti  säilytys  eteinen kaluste  henkari  kenkä säilytys  kori  lipasto  sivu pöytä  vaate kaappi  vaate teline  yö pöytä   kortti  verho  kaihdin  lamelli verho  laskos verho   tarvike  rulla verho  verho tanko   kortti  puu tarha   lamppu   tuoli   varjo   patja  keinu  kukka ruukku  lamppu  lyhty  makuu pussi   ryhmä  paviljonki  peli  puu tarha pehmuste  puu tarha penkki  puu tarha pöytä  puu tarha tarvike  puu tarha tuoli  sohva ryhmä  trampoliini  säilytys   kortti  sisusta  astia pyyhe  huopa  istuin tyyny    koriste tyyny  lapsi  huone kalu  lapsi  tuote  matto  ovi matto  peili  pyykki pesu   peitto  pöytä tekstiili  talja  talous tavara  talous tuote     kortti  joulu  joulu  joulu kangas  joulu koriste  joulu kuu koriste  joulu kynttilä jalka  joulu tekstiili  valaistus  teko kuu  pukki  valaistus   kortti   kortti  tarjous   tarjous  myymälä  yhteys tieto  aukiolo  blogi  blogi   inspiraatio  unelma  koti  kategoria  makuu huone  kylpy huone  työ huone  olo huone   tila  säilytys  verho  puu tarha  sisusta  joulu  tarjous  hinta   kortti  tuote merkki   myynti     asiakas amme  tuote    työ paikka  työ paikka  työ     kollega  työ paikka  apu  asiakas   yhteys  chatti  yhteys  asiakas   blogi  inspiraatio  vinkki  sisusta  uni  blogi  vuo  tarjous  myymälä       jolla  patja takuu    takuu  hinta  joki   kortti  uutinen kirje    idea   kortti  tieto  tarjous  sama  uutinen kirje  ehto  suostumus  tieto  henkilö tieto    tuote ryhmä  makuu huone  kylpy huone  työ huone  olo huone   tila  säilytys  verho  puu tarha  sisusta  joulu  kaikki  kategoria  asiakas   asiakas   myymälä  tarjous   kuvasto  myynti   ehto         vaihto ehto  eväs tie  suostumus  tieto   kortti  tieto  lehdistö  työ paikka  tila  uutinen kirje   myynti  blogi    korona virus info   kuja  asiakas   yhteys  asiakas    myynti  yhteys  painike  sivu   osa
43120;10026183;UM Yhtiöt Oy;www.umyhtiot.fi; etu sivu  yhtiö  sisältö  etu sivu  tieto      kiinteistö    vesi rakennus  yhteys  menu  etu sivu  tieto      kiinteistö    vesi rakennus  yhteys  kasvu  kehittymä  yhtiö    toimi    työ    askel  tavoite      uutinen   kuu  sopimus  tytär yhtiö  koko  osake kanta  edusta  tuote    toimi     liike vaihto  henkilöstö  yhteenlaskettu  määrä  uutinen  sopimus  tytär yhtiö  koko  osake kanta  etelä puisto  yhtiö  tieto suoja seloste  menu  etu sivu  tieto      kiinteistö    vesi rakennus  yhteys
4312;10029122;Nivalan Puskutyö Oy;www.nivalanpuskutyo.fi; home  etu sivu  tieto  referenssi  galleria  kone luettelo  yhteys  pusku työ  louhe  kone  työ         sulje tuki  pusku työ   tie  
4222;10046205;Elvera Oy;www.elvera.fi; yhtiö       sähkö  vesi  lämpö  tieto liikenne  teko    kunnossapito  vika hoito  työ   yhteys tieto  sivusto  menu    sähkö  vesi  lämpö  tieto liikenne  teko    kunnossapito  vika hoito  työ   yhteys tieto  haku  verkosto    para  sähkö  koko nainen toteutus  maasto      kaapeli verkko  kunnossapito  vika hoito  asiakas  tarve  asia   sähkö   teko  toimi joki  vesi  asiakas  tarve  asia    jäte vesi  hulevesi verkko  kunnossapito  lämpö  lämpö   kaasu verkko  kartoitus  kunnossapito    laitos  lisä  automaatio     tieto liikenne    kuitu verkko  kartoitus  näyttö palvelus  huolto toimenpide  kuitu verkko  kytkentä    teko  jännite työ  alue  verkko  kunnossapito  sähkö  kytkin asema  lämpö verkko  häiriö tila  yhteys  verkosto  edelläkävijä  poikkeus tila tie    suo    vika hoito       tehtävä  toiminto  kunta  toimi    häiriö tila tie  aika  verkosto  alku   loppu     yhtiö  resurssi  asia tunti jana  merkki  kunta  joki  sama  kerta  tekniikka  projekti  tie rakenne    asiakas  yhteys  yhteys tieto  mieli  kaikki  nimi  sähkö  osoite   numero  liike toimi kauppa  työ  kumppanuus  liike toimi kauppa  tieto liikenne      kasvu  tieto liikenne verkko  kenttä  liike toimi     energia verkko  työ  sähkö verkko       energia verkko  työ  sähkö verkko       energia verkko  sähkö verkko  verkosto      energia verkko  verkosto   henkilöstö  sama   määrä  liike   yhteys  lämpö   projekti  lämpö   projekti  lämpö     päästö  nimi  savu piippu    savu kaasu  vesi höyry  energia  korona virus  korona  virus  toimi  kanta  vastuu  verkosto  toimi  toimi alue  organisaatio  henkilöstö  toimi   osa  korona virus  valaistus verkko      valaistus verkko      kaupunki  kesä  sähkö verkko  tehtävä    valaistus    tulos  kaupunki  sopimus  kaupunki  rooli  kilpailutus  kohde  valo verkko  työ    aika  yhtiö  asema  ammattilainen  merkitys  toimi alue  sähkö   aika  kaikki  kaupunki  pää vesi ottamo    kokemus  tuotanto mestari     lämpö voima  kaikki  referenssi  copyright    toteutus  media kolmio  yhtiö  media   tieto  rekisteri  tieto suoja seloste   katu  yhteys tieto  copyright    toteutus  media kolmio
43291;10058118;KSPT-Insulation Oy;www.kspt.fi;   teko      teko   talo tekniikka  kunnossapito  tuotanto    palo katko  asbesti   toimi politiikka  yhteys tieto  yhteys tieto    tieto suoja    logo      teko   talo tekniikka  kunnossapito  tuotanto    palo katko  asbesti   toimi politiikka  yhteys tieto  yhteys tieto    tieto suoja    logo  pää toimi   teko   talo tekniikka  kunnossapito  tuotanto    palo katko  asbesti   työ        pää toimi paikka  teline  kunnossapito yksikkö    teline materiaali     teko kaari
56101;10061368;Suomen Ravintolatoimi Oy;www.noho.fi; menu  konserni  tarina  avain luku  strategi   ryhmä  hallitus  historia  ravintola toimi  ruoka ravintola  viihde ravintola  ravintola   kortti  joulu      yhtiö   hallitus  työ   hallitus   ryhmä  tili   piiri hallinto    hallinto   järjestelmä   politiikka   raportti  palkka  palkkio   yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous  yhtiö kokous    tili päätös  osa  katsaus   kertomus  pörssi tiedote   uutinen       liike toimi    liike toimi    hybridi    anti    osake  osake tieto  osake   analyytikko  tieto anto politiikka   yhteys  väärinkäytös   kalenteri    media  media tiedote  media tiedote  pörssi tiedote   uutinen  media pankki  myynti  työ haku  yhteys tieto  ravintola  tanska  elämys  arki  juhla  vuoro kausi    kokemus  ravintola pioneeri  ruoka  yö kerho  viihde keskus  nimi  sana  joki  konserni    konserni    kasvu markkina       kuva  ravintola liike toimi  puoli  merkki  yleisö tapahtuma  partneri malli  koko  toimi  kivi jalka  kumppani  konserni  jalka sija  lisä  ravintola toimi  tanska  konserni  visio    konserni  toimi  nimi  joulu kuu  osake    puoli  katsaus  strategi info  ravintola    ohje  toimi  poikkeus aika  liike vaihto  työ   ravintola  pörssi  tunnus luku  ravintola toimi  ravintola    tiistai  osa  katsaus  aika  tiistai  yhtiö  tulos info tilaisuus  analyytikko    sama  ravintola  osoite   esplanadi  pörssi tiedote   uutinen  arkisto  media tiedote  tiistai  tiistai  nokka  arkisto    liike toimi  arkisto   kertomus  tili päätös  osake    vuode  historia  konserni  ravintola toimi    media  myynti  työ haku  yhteys tieto  eväste   eväs tie  sivusto   kokemus  eväste   eväste käytäntö  eväste   eväs tie    sivusto  eväste  tieto  kategoria  osa  kaikki  kategoria  kaikki  luokka  eväste  lisä  eväste luettelo  kategoria  eväs tie  kaikki  eväste  eväste  osa  eväs tie  verkko sivusto  ydin toiminto  verkko sivusto  toimi  kunto      eväste  eväs tie  verkko sivusto  sivusto    eväste  osa  eväs tie  verkko sivusto  ydin toiminto  verkko sivusto  toimi  kunto      nimi  isäntä nimi  eväste banneri  eväste  eväs tie  verkko sivusto  sivusto    nimi  isäntä nimi  eväs tie  vuo  tunti  minuutti  pyyntö
8542;10065502;Jyväskylän Ammattikorkeakoulu Oy;www.jamk.fi; jyvänen kylä  ammatti  koulu  sisältö  tieto  työ  laatu   tulo  sivu  toimi  laatu   koulutus alue  periaate  kansa väli  verkosto amme   kyky  tieto suoja  asia kirja    materiaali   kertomus  asiakas     koulu  hyvinvointi yksikkö  liike toimi yksikkö  teknologi yksikkö  hallinto  yhteys tieto  raja katu  kampus  musiikki kampus  talous instituutti  henkilö haku  yhteys tieto  etu  tehtävä nimike     tulo  pyörä  kaikki  kampus              media  kaikki      etu sivu  koulutus  tutkinto koulutus   koulutus   koulutus  tutkinto  kulttuuri   liike talous          tekniikka  haku ohje  haku ohje    koulu   koulutus   koulutus    koulutus      tila   ravintola   kirjasto  tieto haku  opas  kirjasto  aukiolo aika   työ    organisaatio     näyte työ       projekti  kumppanuus työ  kumppanuus työ    kulttuuri    musiikki opisto  musiikki kampus  edusta kuoro  tutkimus       automaatio  robotiikka  talous    moni alainen  kuntoutus  turpa      jyvänen kylä  ammatti  koulu  moni alainen  tutkimus       henkilö kunta  projekti toimi  tulos  menetelmä   koe  seminaari  työ paja  tiede  tutkimus  aineisto   tutkimus     tutkimus  tavoite  käytäntö  jyvänen kylä  ammatti  koulu  jyvänen kylä  ammatti  koulu     kyky  tee  työ  työ elämä    henkilöstö  korona   korona ohje   tulo   koe  syksy  haku  pää kampus   koe ohje   koe ohje    ammatti  koulu   jyvänen kylä  ammatti  koulu       tapahtuma  kevät              koko    loka kuu  loppu      asiakas   sisältö   kunta  vinkkeli  juttu  ihminen  elämä  brändi   tulo  verkko    lista  tila  uutinen kirje  tieto  koulutus  kutsu  itse   lista  kirjasto  työ paikka  yhteys tieto    henkilö haku    verkko   kaikki  uutinen  tapahtuma  pää kampus    ammatti  koulu  syksy  haku   koe  ammatti  koulu  kampus  jyvänen kylä  ammatti  koulu  pää kampus     koe    turpa    kuu  kesä kuu    aste      jyvänen kylä  ammatti  koulu  aste      tapahtuma  perjantai  tapahtuma    poikkeus olo  musiikki kampus  kaupunki  video teos  kaupunki  video teos  jyvänen kylä  jyvänen kylä  opisto  jyvänen kylä  koulutus kunta yhtymä    tanssi  taide     kunta    karsi  historia      ruoka    työ    jyvänen kylä       laitos  toimi  sairaala  pinta  mikrobi määrä  pinnoite aine  apu  pihka  puu kuori    muovi      sairaala ympäristö    keskus sairaala  ammatti  koulu  ura seuranta   tieto  työ ura      työ ura    kaikki  vuo      tapahtuma  trendi   huolto   turpa  pilotti   ehto     lapsi   kokemus    teknologi  apu  työ paja  tapahtuma kalenteri  tapahtuma  ohjaamo  loppu seminaari  verkko  tapahtuma kalenteri  kevät  kaikki   kurssi   tulo  tapahtuma  tapahtuma tuotanto  kurssi  unelma     muutto      idea    kesä duuni    ohjelma   jakso   hyvinvointi  hanke   ryhmä  lista   työ    työ  työ kumppani  toimi  tuki  muoto  valtio vara ministeri  raja katu  ohjelma  edustajisto          toimeentulo  sama  reissu  tapa  jyvänen kylä  jyvänen kylä  ammatti  koulu  rehtori  vesa  jyvänen kylä  opisto  rehtori    hetki  vesa  kuva   kunta hallitus  puhe   kansa edusta  valtio vara ministeri  raja katu  ohjelma  jyvänen kylä  opisto  edustajisto          toimeentulo  sama  reissu  tapa  jyvänen kylä  jyvänen kylä  ammatti  koulu  rehtori  vesa  jyvänen kylä  jyvänen kylä  rehtori    hetki  vesa  kuva   kunta hallitus  puhe   kansa edusta  pää kampus  luku kausi  vesa   koulutus  pedagogiikka   koulutus  vene  tila  asiakas suhde  koulutus    koulutus   toimi  työ  koulutus prosessi      asiakas suhde  koulutus   projekti  käytäntö  tehtävä  hetki  pedagogiikka  koulutus   koulutus  työ    lehtori  työ   toimi tapa    verkko koulutus  kysymys  ääri   koulutus  blogi   blogi  arki      kuu  blogi  ehto   osa  suunnitelma  toteutus    uhka  turpa  turpa  kaikki    turpa        talous  kunta  talous  visio  talous  toimi  teknologi   talous   talous kampus  talous instituutti  ase   automaatio  robotiikka  robotiikka  kone näkö  etu  ihminen  sama  tila  työ    hoiva työ      systeemi   koulutus  toimi  paino piste  tutka      ympäristö      merkitys  kansa talous       luonto   työ  työ kumppani verkosto  teema  moni alainen  kuntoutus  jyvänen seutu  toimi  moni alainen  kuntoutus  liike toimi     keskittymä  työ  työ  elin keino elämä  alue  kuntoutus  tutkimus   yksikkö  laatu  toimi  laatu     innovaatio toimi      laatu  etu sivu  uutinen  blogi     materiaali  verkko   video  jyvänen kylä  ammatti  koulu  tieto  koulutus  tutkimus      kirjasto  työ  yhteys tieto  tila  uutinen kirje    henkilö kunta  sähkö   jyvänen kylä  henkilö kunta  yhteys tieto    osoite  tieto  sivu       seloste  tieto suoja  rekisteri seloste  eväste 
4212;10078223;NRC Group Finland Oy;www.nrcgroup.fi; etu sivu    vastuu  vastuu  ympäristö  turpa  ihminen  laatu      tie  kunnossapito  kunnossapito  materiaali   kone   projekti  ura  ura    kesä työ  uutinen  yhteys tieto  yhteys tieto  toimi piste     tieto  media  tarjous pyyntö  palaute lomake    kokemus  työ paikka  ura  huippu  rata  työ    ammattilainen  palo  huominen  joukko  tähti  kuu  konkari  työ  huominen  kollega  joukko  ihminen  kunta    ammatti taito  paikka      puoli  projekti  uutinen  kone työ      hiili jalka jälki  jälki  prosentti  hiili dioksidi päästö  kone  energia     kone  laatu  toimi  tonni  juna  laatu  avain ase massa  liikenne paikka  urakka  euro  juna   paikka  kontio mäki  projekti  loka kuu  alku  arvio   kuu  asia    kunnossapito  materiaali   kone   osa  osa  toimi  yhtiö  lisä  liikenne  silta  tunneli  pää konttori  yhtiö  yhteenlaskettu  liike vaihto    konserni  hanke  yhtiö  osake  uutinen    vastuu  tieto suoja seloste  tieto suoja seloste  seura  yhteys  yhteys tieto  osake  kurssi
4741;10086709;Multitronic Oy;www.multitronic.fi; myymälä  asiakas   huolto  kieli  tili  ostos kori  ostos kori  tuote  ostos kori  ostos kori  kategoria  tieto kone  tabletti    tarvike  komponentti  kaapeli     laite  verkko tuote  ohjelmisto  lisä laite  toimisto  tarvike  äly koti  koti elektroniikka  koti kone      lelu  koti  puu tarha      asiakas   myymälä  huolto  kaikki  tuote  vara osa opas  muisti opas  muste opas  tulostin  varasto tyhjennys  löytö nurkka  tarjous  tarjous  löytö nurkka  näppäimistö  äly kello  hinta  tuuma koko  kuu  toimi  tila  tarjous hinta  kuuloke  vaatimus  ääni laatu  kuu    nappi kuuloke  uutuus  nappi kuuloke  uutuus  hopea  uutuus    tähti   uutuus    tähti   uutuus    hopea  uutuus    hopea  uutuus    tähti   uutuus    hopea  uutuus    tähti   uutuus    tähti   uutuus    hopea  uutuus    tuote merkki  celsius  alfa  säkä  säkä  säkä  säkä  tuote  junior  mobile  peli näppäimistö  näyttö  home  home    home  business  home  home  business  säkä  home  business  säkä  tuote  kytkin  säkä    editio  säkä  säkä  säkä  säkä  säkä  säkä  säkä  kieli    tuote  kauppa  huolto    maksu  tila  uutinen kirje  tieto  kampanja  tila  tila  uutinen kirje  tila  asiakas   asiakas tuki    maksu tapa  asiakas   takuu  huolto    huolto  muisti opas  muste opas  vara osa opas  tieto  myymälä  myynti ehto    myynti ehto    tieto suoja käytäntö  etu sivu  valikko  ostos kori  haku  tili   nimi  sana  sana   tili
